City ,state_abbr,County,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Percent of Cases with Late Stage,,,
Albuquerque,NM,Bernalillo,15.7,14,17.6,N/A ,6,14,65,56.8,,,
Anaheim,CA,Orange,14.8,14,15.6,N/A ,34,47,276,52.5,,,
Anchorage,AK,Anchorage,21.3,17.8,25.3,N/A ,1,4,28,56.6,,,
Arlington,TX,Tarrant,17.5,16.4,18.8,N/A ,41,82,173,55.1,,,
Atlanta,GA,DeKalb,16.8,15,18.8,N/A ,40,77,67,49.2,,,
Atlanta,GA,Fulton ,18.4,16.8,20.2,N/A ,32,70,96,53.8,,,
Aurora,CO,Adams,19.3,16.8,22.1,N/A ,3,14,44,53.5,,,
Aurora,CO,Arapahoe,18.2,16.2,20.4,N/A ,4,16,61,58,,,
Aurora,CO,Douglas,12.9,10.4,15.8,N/A ,12,21,20,53.2,,,
Austin,TX,Hays,19.3,15.2,24.1,N/A ,10,99,16,60.2,,,
Austin,TX,Travis,17.7,16,19.4,N/A ,35,87,92,61,,,
Austin,TX,Williamson,16.3,14.2,18.7,N/A ,39,99,43,59,,,
Bakersfield,CA,Kern,14.9,13.2,16.7,N/A ,25,47,59,51.1,,,
Baltimore,MD,Baltimore,19,17.4,20.8,N/A ,6,17,110,57.7,,,
Boise City,ID,Ada,18.3,15.9,20.9,N/A ,4,11,43,60.3,,,
Boston,MA,Suffolk,15.4,13.7,17.3,N/A ,5,13,61,52.7,,,
Buffalo,NY,Erie,16.6,14,19.6,N/A ,33,64,32,54.9,,,
Chandler,AZ,Maricopa,14.9,14.3,15.7,N/A ,3,11,358,51.3,,,
Charlotte,NC,Mecklenburg,19.3,17.6,21.1,N/A ,32,65,100,56.4,,,
Chesapeake,VA,Chesapeake,18.7,15.5,22.4,N/A ,15,66,25,61.4,,,
Chicago,IL,Cook,21,20.3,21.7,N/A ,26,45,668,56.2,,,
Chicago,IL,DuPage,19.7,18.1,21.4,N/A ,28,54,116,59.3,,,
Chula Vista,CA,San Diego,17.7,16.8,18.6,N/A ,14,36,324,55.9,,,
Cincinnati,OH,Hamilton,19.7,18,21.6,N/A ,28,71,100,52.6,,,
Cleveland,OH,Cuyahoga,20.3,18.9,21.7,N/A ,30,65,187,53.3,,,
Colorado Springs,CO,El Paso,16,14.1,18.1,N/A ,8,19,55,54.5,,,
Columbus,OH,Delaware,21.5,17.7,25.9,N/A ,11,74,23,65.1,,,
Columbus,OH,Fairfield,13,9.8,17,N/A ,57,82,12,45.3,,,
Columbus,OH,Franklin,19.9,18.4,21.5,N/A ,30,68,130,59,,,
Corpus Christi,TX,Aransas,19,11.1,31.5,N/A ,1,105,4,58.3,,,
Corpus Christi,TX,Kleberg,,,,,,,3 or fewer,,,,
Corpus Christi,TX,Nueces,13.9,11.7,16.5,N/A ,55,105,29,44.4,,,
Corpus Christi,TX,San Patricio,16.7,11.3,23.9,N/A ,10,105,6,46.3,,,
Dallas,TX,Collin,15.4,13.8,17.1,N/A ,55,101,71,58.2,,,
Dallas,TX,Dallas,18.4,17.3,19.5,N/A ,35,74,228,55.4,,,
Dallas,TX,Denton,13.8,12.1,15.7,N/A ,67,105,49,49.7,,,
Denver,CO,Denver,19.8,17.7,22.2,N/A ,3,13,66,55.9,,,
Detroit,MI,Wayne,23.7,22.4,25,N/A ,3,18,271,58.3,,,
Durham,NC,Durham,19.5,16.5,22.9,N/A ,17,74,31,58.8,,,
El Paso,TX,El Paso,13.4,11.9,15.1,N/A ,72,105,59,49,,,
Fort Wayne,IN,Allen,19.4,16.8,22.3,N/A ,27,68,42,53,,,
Fort Worth,TX,Tarrant,17.5,16.4,18.8,N/A ,41,82,173,55.1,,,
Fremont,CA,Alameda,17,15.9,18.3,N/A ,15,42,161,57,,,
Fresno,CA,Fresno,18.8,17.1,20.7,N/A ,5,37,90,59.7,,,
Garland,TX,Dallas,18.4,17.3,19.5,N/A ,35,74,228,55.4,,,
Gilbert,AZ,Maricopa,14.9,14.3,15.7,N/A ,3,11,358,51.3,,,
Glendale,AZ,Maricopa,14.9,14.3,15.7,N/A ,3,11,358,51.3,,,
Greensboro,NC,Guilford,19.4,17.3,21.7,N/A ,21,69,63,60.6,,,
Henderson,NV,Clark,16.2,15.1,17.2,N/A ,3,8,189,51,,,
Hialeah,FL,Miami-Dade,18.2,17.3,19.1,N/A ,19,39,329,52.5,,,
Honolulu,HI,Honolulu,20.1,18.5,21.8,N/A ,1,3,126,54.8,,,
Houston,TX,Fort Bend,13.9,12.1,15.8,N/A ,64,105,49,51.5,,,
Houston,TX,Harris,18.4,17.6,19.2,N/A ,38,72,392,57.6,,,
Houston,TX,Montgomery,15.5,13.5,17.8,N/A ,47,101,44,50,,,
Indianapolis,IN,Marion,19.3,17.6,21.1,N/A ,32,65,100,56.4,,,
Irvine,CA,Orange,14.8,14,15.6,N/A ,34,47,276,52.5,,,
Irving,TX,Dallas,18.4,17.3,19.5,N/A ,35,74,228,55.4,,,
Jacksonville,FL,Duval,20.9,19.2,22.8,N/A ,5,30,112,58.9,,,
Jersey City,NJ,Hudson,19.8,17.7,22,N/A ,4,20,71,57.5,,,
Kansas City,MO,Cass,18.6,14.1,24.1,N/A ,13,54,12,56.5,,,
Kansas City,MO,Clay,20.3,17,24.1,N/A ,15,50,27,57.8,,,
Kansas City,MO,Jackson,19.4,17.5,21.4,N/A ,23,48,83,54.5,,,
Kansas City,MO,Platte,12.9,9,18,N/A ,33,55,7,56.9,,,
Laredo,TX,Webb,15.8,12.7,19.4,N/A ,30,104,19,63.3,,,
Las Vegas,NV,Clark,16.2,15.1,17.2,N/A ,3,8,189,51,,,
Lexington,KY,Fayette,17.9,15.1,21.1,N/A ,32,58,31,48.3,,,
Lincoln,NE,Lancaster,21.7,18.5,25.2,N/A ,5,15,36,60.3,,,
Long Beach,CA,Los Angeles,17.4,16.9,17.9,N/A ,19,36,997,55.4,,,
Los Angeles,CA,Los Angeles,17.4,16.9,17.9,N/A ,19,36,997,55.4,,,
Louisville,KY,Jefferson,21,19.1,22.9,N/A ,26,51,105,52.9,,,
Lubbock,TX,Lubbock,18.3,15.3,21.7,N/A ,19,96,27,61.8,,,
